country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-08-07 11:00:00,24.762518,84.982348,PM2.5,7.0,40.0,22.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2026-08-07 11:00:00,24.7955,84.9994,NO2,9.0,10.0,9.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-08-07 11:00:00,25.697189,85.2459,NO2,6.0,10.0,8.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-08-07 11:00:00,25.697189,85.2459,CO,33.0,42.0,38.0
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2026-08-07 11:00:00,25.560083,87.553265,PM2.5,2.0,17.0,8.0
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2026-08-07 11:00:00,25.560083,87.553265,NH3,1.0,1.0,1.0
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-08-07 11:00:00,26.0881305,87.93840336,PM10,49.0,98.0,64.0
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-08-07 11:00:00,26.0881305,87.93840336,NH3,3.0,3.0,3.0
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2026-08-07 11:00:00,27.308328,84.531742,SO2,13.0,17.0,16.0
India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-08-07 11:00:00,25.376776,86.471523,SO2,26.0,33.0,29.0
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-08-07 11:00:00,26.1403345,85.3650192,PM2.5,27.0,75.0,34.0
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-08-07 11:00:00,26.1403345,85.3650192,OZONE,11.0,26.0,14.0
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2026-08-07 11:00:00,25.610369,85.132568,CO,73.0,79.0,76.0
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2026-08-07 11:00:00,25.599486,85.113666,PM10,15.0,47.0,33.0
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2026-08-07 11:00:00,25.599486,85.113666,CO,31.0,43.0,36.0
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-08-07 11:00:00,25.592539,85.227158,PM2.5,67.0,75.0,70.0
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2026-08-07 11:00:00,25.596727,85.085624,PM2.5,24.0,119.0,61.0
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2026-08-07 11:00:00,25.596727,85.085624,SO2,4.0,5.0,4.0
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2026-08-07 11:00:00,25.596727,85.085624,CO,8.0,19.0,12.0
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2026-08-07 11:00:00,25.366336,87.117468,NH3,2.0,2.0,2.0
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2026-08-07 11:00:00,25.366336,87.117468,CO,56.0,58.0,57.0
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",2026-08-07 11:00:00,25.0328,85.41948,PM2.5,25.0,500.0,79.0
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",2026-08-07 11:00:00,25.0328,85.41948,NO2,13.0,15.0,14.0
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2026-08-07 11:00:00,13.67,79.35,NH3,2.0,3.0,2.0
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-08-07 11:00:00,13.615387,79.40923,PM2.5,53.0,66.0,56.0
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-08-07 11:00:00,13.615387,79.40923,PM10,59.0,70.0,64.0
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2026-08-07 11:00:00,16.509717,80.612222,NH3,3.0,6.0,4.0
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-08-07 11:00:00,16.536107,80.594233,SO2,8.0,22.0,11.0
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2026-08-07 11:00:00,16.554731,80.64911,CO,13.0,15.0,14.0
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-08-07 11:00:00,16.5150833,80.5181667,NH3,2.0,3.0,3.0
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-08-07 11:00:00,16.5150833,80.5181667,SO2,14.0,23.0,17.0
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2026-08-07 11:00:00,14.675886,77.593027,PM10,57.0,185.0,98.0
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2026-08-07 11:00:00,14.675886,77.593027,NO2,13.0,32.0,17.0
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2026-08-07 11:00:00,13.20488,79.097889,PM2.5,61.0,75.0,66.0
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2026-08-07 11:00:00,13.20488,79.097889,NH3,5.0,9.0,8.0
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2026-08-07 11:00:00,13.20488,79.097889,SO2,11.0,27.0,15.0
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",2026-08-07 11:00:00,25.859655,85.77944,NO2,8.0,9.0,8.0
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",2026-08-07 11:00:00,25.859655,85.77944,NH3,1.0,2.0,1.0
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-08-07 11:00:00,30.735567,76.775714,PM10,15.0,52.0,28.0
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2026-08-07 11:00:00,30.719859,76.738637,NO2,8.0,60.0,28.0
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2026-08-07 11:00:00,30.719859,76.738637,OZONE,3.0,6.0,4.0
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2026-08-07 11:00:00,21.224231,81.40835,SO2,7.0,9.0,8.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-08-07 11:00:00,25.251013,86.989001,PM10,23.0,209.0,52.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-08-07 11:00:00,25.251013,86.989001,SO2,8.0,40.0,23.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-08-07 11:00:00,25.251013,86.989001,OZONE,17.0,19.0,18.0
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2026-08-07 11:00:00,25.265194,87.012947,PM2.5,13.0,130.0,39.0
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2026-08-07 11:00:00,25.265194,87.012947,CO,6.0,75.0,24.0
